Timestamp,Session_ID,Total_Duration_Seconds,Files_Processed,Successful_Uploads,Failed_Uploads,Success_Rate_Percent,Total_Size_MB,Upload_Speed_Mbps,Average_Time_Per_File
20250725_193809,upload_20250725_193809,16.54,1,1,0,100.0,489.75,17346.31,16.536
20250725_193826,upload_20250725_193826,16.27,1,1,0,100.0,490.36,17147.63,16.272
20250725_193843,upload_20250725_193843,17.3,1,1,0,100.0,490.38,17133.81,17.305
20250725_193900,upload_20250725_193900,16.72,1,1,0,100.0,489.86,17449.96,16.718
20250725_193915,upload_20250725_193915,15.62,1,1,0,100.0,490.47,17208.4,15.622
20250726_163949,upload_20250726_163949,0.75,1,1,0,100.0,13.01,8940.24,0.75
20250726_163949,upload_20250726_163949,0.17,1,1,0,100.0,2.83,4270.89,0.166
